Code,LocalAuthority,Year,Indicator,Numerator,Denominator
C&L01,Aberdeen City,2010-11,0.33,637,1922292
C&L01,Aberdeen City,2011-12,0.76,1554,2045051
C&L01,Aberdeen City,2012-13,3.64,7883,2163756
C&L01,Aberdeen City,2013-14,3.48,7726,2222588
C&L01,Aberdeen City,2014-15,3.02,7517,2487138
C&L01,Aberdeen City,2015-16,3.13,7977,2549135
C&L01,Aberdeen City,2016-17,3.37,8070,2396458
C&L01,Aberdeen City,2017-18,3.2,7977,2494247
C&L01,Aberdeen City,2018-19,3.56,7935,2229239
C&L01,Aberdeen City,2019-20,3.45,3950,1145072
C&L01,Aberdeen City,2020-21,27.68,7032,254040
C&L01,Aberdeen City,2021-22,4.8,6888,1434492
C&L01,Aberdeen City,2022-23,4.24,7352,1734240
C&L01,Aberdeen City,2023-24,3.01,5956,1978218
C&L01,Aberdeen City,2024-25,2.19,4335,1978218
C&L01,Aberdeenshire,2010-11,4.48,5641,1260286
C&L01,Aberdeenshire,2011-12,2.88,5475,1898433
C&L01,Aberdeenshire,2012-13,3.12,6301,2019904
C&L01,Aberdeenshire,2013-14,3.18,6448,2027402
C&L01,Aberdeenshire,2014-15,3.44,6401,1858491
C&L01,Aberdeenshire,2015-16,3.31,6210,1875054
C&L01,Aberdeenshire,2016-17,4.76,9970,2095024
C&L01,Aberdeenshire,2017-18,2.55,5805,2280427
C&L01,Aberdeenshire,2018-19,2.51,5669,2261864
C&L01,Aberdeenshire,2019-20,2.98,6615,2219506
C&L01,Aberdeenshire,2020-21,30.02,8381,279146
C&L01,Aberdeenshire,2021-22,5.97,7086,1186235
C&L01,Aberdeenshire,2022-23,5.07,8762,1729742
C&L01,Aberdeenshire,2023-24,4.26,7859,1846056
C&L01,Aberdeenshire,2024-25,3.78,7458,1972597
C&L01,Angus,2010-11,1.96,3074,1568948
C&L01,Angus,2011-12,1.76,2548,1450100
C&L01,Angus,2012-13,1.78,2376,1332704
C&L01,Angus,2013-14,1.56,2387,1531278
C&L01,Angus,2014-15,1.65,2477,1504480
C&L01,Angus,2015-16,1.54,2385,1544597
C&L01,Angus,2016-17,2.74,4100,1493826
C&L01,Angus,2017-18,2.27,3559,1564591
C&L01,Angus,2018-19,2.49,3586,1442580
C&L01,Angus,2019-20,2.87,3509,1222627
C&L01,Angus,2020-21,113.11,2964,26205
C&L01,Angus,2021-22,6.3,3565,565544
C&L01,Angus,2022-23,6.15,4747,771832
C&L01,Angus,2023-24,6.19,4854,783913
C&L01,Angus,2024-25,4.84,3767,777642
C&L01,Argyll & Bute,2010-11,2.42,1590,656840
C&L01,Argyll & Bute,2011-12,2.52,1520,602198
C&L01,Argyll & Bute,2012-13,2.49,1530,615039
C&L01,Argyll & Bute,2013-14,2.42,1465,604991
C&L01,Argyll & Bute,2014-15,2.76,1583,574314
C&L01,Argyll & Bute,2015-16,3.08,1684,545894
C&L01,Argyll & Bute,2016-17,3.31,1573,475293
C&L01,Argyll & Bute,2017-18,2.95,1456,493703
C&L01,Argyll & Bute,2018-19,2.93,1554,531074
C&L01,Argyll & Bute,2019-20,2.79,1589,569318
C&L01,Argyll & Bute,2020-21,19.18,1475,76919
C&L01,Argyll & Bute,2021-22,5.83,1596,273840
C&L01,Argyll & Bute,2022-23,4.03,2040,505966
C&L01,Argyll & Bute,2023-24,3.6,2095,582515
C&L01,Argyll & Bute,2024-25,3.23,2017,624398
C&L01,Clackmannanshire,2010-11,3,1639,545939
C&L01,Clackmannanshire,2011-12,2.9,1620,557734
C&L01,Clackmannanshire,2012-13,3.11,1722,554238
C&L01,Clackmannanshire,2013-14,2.76,1579,571718
C&L01,Clackmannanshire,2014-15,1.67,982,587914
C&L01,Clackmannanshire,2015-16,1.7,944,556036
C&L01,Clackmannanshire,2016-17,1.7,918,538695
C&L01,Clackmannanshire,2017-18,1,489,490846
C&L01,Clackmannanshire,2018-19,0.75,416,557046
C&L01,Clackmannanshire,2019-20,0.84,521,622547
C&L01,Clackmannanshire,2020-21,17.37,770,44319
C&L01,Clackmannanshire,2021-22,4.85,560,115452
C&L01,Clackmannanshire,2022-23,3.35,481,143437
C&L01,Clackmannanshire,2023-24,2.45,374,152421
C&L01,Clackmannanshire,2024-25,2.43,389,160225
C&L01,Dumfries & Galloway,2010-11,4.16,5385,1293585
C&L01,Dumfries & Galloway,2011-12,5.09,6571,1290193
C&L01,Dumfries & Galloway,2012-13,5.36,6618,1235281
C&L01,Dumfries & Galloway,2013-14,5.82,6920,1188032
